,stnode,endnode,Wkt,one_way,key,infra_type,length,osm_id,geometry
5411,4462,17686,"LINESTRING (-21.7540048 64.2967899, -21.7537537 64.296443, -21.7537191 64.2961726, -21.7535947 64.296001, -21.7533393 64.2957554, -21.7530661 64.2954767, -21.7529243 64.2954119, -21.7527962 64.2953702)",,edge_15355,unclassified,0.17231310400806363,9960a728-565e-463e-90da-0dcb2fd5660c,"LINESTRING (-21.7540048 64.2967899, -21.7527962 64.2953702)"
5412,4464,11810,"LINESTRING (-21.8221063 64.1070073, -21.822133 64.1069767)",,edge_1090,tertiary,0.0036510992511511057,165eae83-a0cf-4997-ac2f-0d34ad67e7a3,"LINESTRING (-21.8221063 64.1070073, -21.822133 64.1069767)"
5413,4465,4638,"LINESTRING (-21.8602845 64.1331658, -21.86026 64.1331205, -21.8601616 64.1329743, -21.8600453 64.1328306, -21.8599114 64.1326899, -21.8597647 64.1325561, -21.8592113 64.1321541, -21.8591042 64.1320767, -21.8590003 64.1320159)",,edge_3515,residential,0.1435289216247328,6329c8c8-f088-4182-b833-7f101559a159,"LINESTRING (-21.8602845 64.1331658, -21.8590003 64.1320159)"
5414,4465,14464,"LINESTRING (-21.8602845 64.1331658, -21.8595301 64.133267, -21.8595194 64.1332525, -21.8594456 64.1331523)",,edge_3516,service,0.05186398799398777,255ed9c0-f8fb-430d-917b-e330beaaa00e,"LINESTRING (-21.8602845 64.1331658, -21.8594456 64.1331523)"
5415,4466,16513,"LINESTRING (-21.7830051 64.1141942, -21.7831456 64.1142958, -21.783284 64.1143633, -21.7833807 64.1144122, -21.7835476 64.1144857)",,edge_21534,tertiary,0.04209072906984462,7fb18dc4-9536-4165-9d45-6295a0be9f41,"LINESTRING (-21.7830051 64.1141942, -21.7835476 64.1144857)"
5416,4466,14177,"LINESTRING (-21.7830051 64.1141942, -21.7831125 64.1142026, -21.783221 64.1141973, -21.7833213 64.1141786)",,edge_21536,tertiary,0.015951053568417084,13fdb5b6-290b-4a49-8aed-f2c2b9dd1c3f,"LINESTRING (-21.7830051 64.1141942, -21.7833213 64.1141786)"
5417,4467,10134,"LINESTRING (-21.9091738 64.1364346, -21.9093993 64.1364689)",,edge_11003,residential,0.011627007623576728,614e5e5b-cb34-498f-a13b-971678cdc40a,"LINESTRING (-21.9091738 64.1364346, -21.9093993 64.1364689)"
5418,4467,7149,"LINESTRING (-21.9091738 64.1364346, -21.9091112 64.136517, -21.9090665 64.1365761, -21.9086631 64.1371011)",,edge_11004,tertiary,0.07835204310187734,77df27f0-0b74-46d0-a373-087f4e84ea78,"LINESTRING (-21.9091738 64.1364346, -21.9086631 64.1371011)"
5419,4468,5402,"LINESTRING (-21.7234072 64.1613973, -21.7236005 64.1613246, -21.724 64.16105)",,edge_15916,service,0.04867538716906619,efcd3c09-2766-4aa7-bce3-0d52c1258c3b,"LINESTRING (-21.7234072 64.1613973, -21.724 64.16105)"
5420,4468,9787,"LINESTRING (-21.7234072 64.1613973, -21.7239223 64.161509)",,edge_15920,service,0.02798255762901142,afab74b6-9afa-4219-9557-7ddcb9060202,"LINESTRING (-21.7234072 64.1613973, -21.7239223 64.161509)"
5421,4469,2025,"LINESTRING (-21.7437 64.08673, -21.74379 64.0866, -21.74383 64.0863, -21.74332 64.08592, -21.74263 64.08544, -21.7422618 64.0851124)",,edge_22284,unclassified,0.20168449509129496,891b406b-11e1-4f73-b38e-fb9e4401c7f5,"LINESTRING (-21.7437 64.08673, -21.7422618 64.0851124)"
5422,4469,233,"LINESTRING (-21.7437 64.08673, -21.7433915 64.0866538, -21.7396743 64.0859776, -21.7393001 64.0859313, -21.7389298 64.0859128, -21.7384785 64.085936, -21.7381406 64.0859772, -21.7378759 64.0860011, -21.7376208 64.0859918)",,edge_22305,residential,0.3157533068850242,28bdc684-f78e-445e-b2b1-0f9628ac5874,"LINESTRING (-21.7437 64.08673, -21.7376208 64.0859918)"
5423,4471,1715,"LINESTRING (-21.993164 64.1505599, -21.9931784 64.1505838, -21.99321 64.1506044, -21.9932553 64.1506193, -21.9933093 64.1506269, -21.9933661 64.1506264, -21.9934193 64.1506177)",,edge_13567,residential,0.01657026656683394,9e339987-4b66-4b8e-98b2-18117819296d,"LINESTRING (-21.993164 64.1505599, -21.9934193 64.1506177)"
5424,4471,13619,"LINESTRING (-21.993164 64.1505599, -21.9923001 64.1507034, -21.9924691 64.1509043)",,edge_13570,service,0.06884374985634478,1a9fe9b9-903a-47fc-8aa4-bf21a63c90af,"LINESTRING (-21.993164 64.1505599, -21.9924691 64.1509043)"
5425,4472,210,"LINESTRING (-21.6558678 64.1322284, -21.6557912 64.1321579, -21.6556805 64.1321133, -21.6552504 64.1320074, -21.6550205 64.1319461, -21.6549481 64.1319071, -21.6548545 64.1318513, -21.6548417 64.1317993, -21.6549111 64.1317288)",,edge_17923,service,0.08088989524209265,7ca66de7-1d80-4cab-8f40-0dc8684d176c,"LINESTRING (-21.6558678 64.1322284, -21.6549111 64.1317288)"
5426,4473,16117,"LINESTRING (-21.4812868 64.2109272, -21.4815449 64.2111301, -21.4817158 64.2112235, -21.4817637 64.2112657, -21.4818728 64.2113829, -21.4820954 64.2116292, -21.4822182 64.2118001, -21.4821895 64.211864, -21.4820274 64.2120079)",,edge_17571,service,0.1331224829486645,d1e992d4-d6af-4c00-b64a-38563aded349,"LINESTRING (-21.4812868 64.2109272, -21.4820274 64.2120079)"
5427,4475,2619,"LINESTRING (-21.8153608 64.1188529, -21.8151711 64.1191005, -21.8150892 64.1192074)",,edge_4552,unclassified,0.0416761421061871,5265873b-2bb6-471d-a15c-41b21b3ddedf,"LINESTRING (-21.8153608 64.1188529, -21.8150892 64.1192074)"
5428,4477,7020,"LINESTRING (-21.8295413 64.2404236, -21.8307117 64.2412031)",,edge_14212,residential,0.10380304076777684,0c8dd222-1971-4d84-a716-45f88a6f11d3,"LINESTRING (-21.8295413 64.2404236, -21.8307117 64.2412031)"
5429,4477,3120,"LINESTRING (-21.8295413 64.2404236, -21.8307213 64.2400815)",,edge_14213,residential,0.06878417816218431,fb722d9d-618d-4064-85b5-0d4e5fa8c45c,"LINESTRING (-21.8295413 64.2404236, -21.8307213 64.2400815)"
5430,4478,9805,"LINESTRING (-21.7884801 64.1171052, -21.7884069 64.1171144, -21.7883419 64.1171318)",,edge_20556,tertiary,0.0074253589271064385,d7a71943-ee5e-4afd-a888-da04431ce566,"LINESTRING (-21.7884801 64.1171052, -21.7883419 64.1171318)"
5431,4479,16017,"LINESTRING (-21.78379 64.1551535, -21.7836427 64.1551351, -21.7835368 64.1551219, -21.7820319 64.1550839, -21.7819556 64.1551492)",,edge_18482,residential,0.09433761833755082,a7b09f6e-a3af-44a3-8ff6-6b30db62a6da,"LINESTRING (-21.78379 64.1551535, -21.7819556 64.1551492)"
5432,4479,6397,"LINESTRING (-21.78379 64.1551535, -21.7837027 64.1552625, -21.7835933 64.1557151, -21.7835832 64.1557569, -21.7835643 64.1558353)",,edge_18483,tertiary,0.07708217837580102,4bc584ef-1181-4138-9b04-da198a81a592,"LINESTRING (-21.78379 64.1551535, -21.7835643 64.1558353)"
5433,4480,18651,"LINESTRING (-21.8624267 64.1290358, -21.8631376 64.1293002, -21.8632048 64.1293413, -21.8632683 64.1294154)",,edge_3317,residential,0.05992298984086025,9ae4e1a7-4f11-4937-83eb-0422cd88697d,"LINESTRING (-21.8624267 64.1290358, -21.8632683 64.1294154)"
5434,4480,454,"LINESTRING (-21.8624267 64.1290358, -21.8622831 64.128994)",,edge_3361,residential,0.008404323708306715,f1708e6e-e466-4aac-a63a-c494d6b9f488,"LINESTRING (-21.8624267 64.1290358, -21.8622831 64.128994)"
5435,4481,7090,"LINESTRING (-21.7375841 64.1261201, -21.7375636 64.1264222, -21.7375586 64.1264945)",,edge_20826,residential,0.04175632817683625,b9d0d3c9-f0b9-4048-bcd3-38dc41859f08,"LINESTRING (-21.7375841 64.1261201, -21.7375586 64.1264945)"
5436,4482,15229,"LINESTRING (-21.9185077 64.1323019, -21.9180198 64.1323057, -21.9179232 64.1323303, -21.9173468 64.1324899)",,edge_10772,service,0.06244441800095876,f456ed68-66bb-41f1-b9fe-639177794bbe,"LINESTRING (-21.9185077 64.1323019, -21.9173468 64.1324899)"
5437,4483,2466,"LINESTRING (-21.8020973 64.1201969, -21.8015313 64.1208233)",,edge_4784,service,0.07507826799568687,d60ef0d4-4016-4615-aa06-94c552cbd2cf,"LINESTRING (-21.8020973 64.1201969, -21.8015313 64.1208233)"
5438,4484,6372,"LINESTRING (-21.9502277 64.1542178, -21.949445 64.1544408)",,edge_12858,service,0.04548270049189842,a4786873-cdc0-4041-b289-7857a9393efa,"LINESTRING (-21.9502277 64.1542178, -21.949445 64.1544408)"
5439,4485,12245,"LINESTRING (-21.6674244 64.1571234, -21.6673167 64.1571683, -21.6670387 64.1573019, -21.6669554 64.1573378, -21.6668692 64.1574231)",,edge_18082,residential,0.04345523808154676,1a5f3eec-8376-47a2-aa08-0b71c4a92f76,"LINESTRING (-21.6674244 64.1571234, -21.6668692 64.1574231)"
5440,4485,18390,"LINESTRING (-21.6674244 64.1571234, -21.6706498 64.1583283, -21.6707176 64.1583517, -21.6711424 64.1584985)",,edge_18083,secondary,0.2371375026549746,ae3265e8-2026-499d-b429-e000c3985128,"LINESTRING (-21.6674244 64.1571234, -21.6711424 64.1584985)"
5441,4488,15963,"LINESTRING (-21.7319061 64.1322912, -21.7319825 64.1322443, -21.7320562 64.1321855)",,edge_21227,service,0.013890445505684818,9db5fa0e-b747-4b07-866b-8de55dd477dd,"LINESTRING (-21.7319061 64.1322912, -21.7320562 64.1321855)"
5442,4488,17220,"LINESTRING (-21.7319061 64.1322912, -21.7321095 64.1323269, -21.7323031 64.1323673, -21.7325042 64.1324129, -21.7327175 64.1324498, -21.7329283 64.1324804, -21.7331506 64.1325036, -21.7333691 64.132519, -21.7335889 64.1325285, -21.7345176 64.1325543)",,edge_21235,tertiary,0.13213334258526901,f863c919-3d7d-4a85-aca3-97287f2aa9bf,"LINESTRING (-21.7319061 64.1322912, -21.7345176 64.1325543)"
5443,4489,3733,"LINESTRING (-21.9472711 64.1319573, -21.9470613 64.1322402)",,edge_11440,service,0.03315132028787844,ec90ce25-0bcb-448e-a46e-1f523fdf1cc9,"LINESTRING (-21.9472711 64.1319573, -21.9470613 64.1322402)"
5444,4489,13845,"LINESTRING (-21.9472711 64.1319573, -21.9470767 64.1319706)",,edge_11442,service,0.009582839397583361,6d951663-2f43-4b81-8c95-173e9daf135a,"LINESTRING (-21.9472711 64.1319573, -21.9470767 64.1319706)"
5445,4490,12258,"LINESTRING (-21.7542585 64.1257346, -21.7538161 64.1258452)",,edge_20786,residential,0.024827871611710184,1e80fc67-ee19-478b-8521-1fcd528cab89,"LINESTRING (-21.7542585 64.1257346, -21.7538161 64.1258452)"
5446,4492,14677,"LINESTRING (-21.8487761 64.1407924, -21.8479987 64.1408338)",,edge_6447,secondary,0.038128346622489234,b191ba55-e6e1-4eaf-be5c-a6ef5a2e51d2,"LINESTRING (-21.8487761 64.1407924, -21.8479987 64.1408338)"
5447,4492,6955,"LINESTRING (-21.8487761 64.1407924, -21.8487896 64.1408674)",,edge_6451,unclassified,0.008386757336867537,9d53f28b-ef1b-4410-92a4-343919980b3f,"LINESTRING (-21.8487761 64.1407924, -21.8487896 64.1408674)"
5448,4493,17117,"LINESTRING (-21.7657222 64.1270141, -21.7656462 64.1268787)",,edge_20676,service,0.015541625655725018,2a2da5c5-7687-4624-9f02-0b64b599b565,"LINESTRING (-21.7657222 64.1270141, -21.7656462 64.1268787)"
5449,4494,5366,"LINESTRING (-21.8279215 64.0981935, -21.8279452 64.0981516, -21.8279629 64.0981021, -21.8279729 64.0980547, -21.8279663 64.0980098, -21.8279546 64.0979689, -21.8279069 64.0978781, -21.8278442 64.0978179, -21.8277581 64.0977504, -21.8276579 64.0976763, -21.8275748 64.0976113, -21.8273832 64.0974741)",,edge_487,tertiary,0.08751385523927849,a2642cdb-5b6f-470c-87bf-2eaf2e2c171b,"LINESTRING (-21.8279215 64.0981935, -21.8273832 64.0974741)"
5450,4495,13744,"LINESTRING (-21.9146547 64.1449857, -21.9146368 64.1450679, -21.9146323 64.145097, -21.9146286 64.1451302, -21.9146023 64.145291, -21.9146037 64.1454115, -21.9146185 64.1455351, -21.9146354 64.1456417)",,edge_7873,secondary,0.07327679970755849,5e55b12a-64eb-4f4c-8800-8095dbbeb9c7,"LINESTRING (-21.9146547 64.1449857, -21.9146354 64.1456417)"
5451,4495,9129,"LINESTRING (-21.9146547 64.1449857, -21.914561 64.1449838, -21.9144482 64.1449854, -21.9143852 64.144987, -21.9142518 64.1449926, -21.9139148 64.1450141)",,edge_7910,tertiary,0.03623397684603461,36172a44-9146-44ae-8b9b-bce7de187891,"LINESTRING (-21.9146547 64.1449857, -21.9139148 64.1450141)"
5452,4496,8360,"LINESTRING (-21.7532732 64.1345054, -21.7530007 64.134614)",,edge_19733,service,0.017962665753372638,471d9a97-9f43-45e5-ae5f-053d632a27ac,"LINESTRING (-21.7532732 64.1345054, -21.7530007 64.134614)"
5453,4496,15889,"LINESTRING (-21.7532732 64.1345054, -21.7530721 64.1345157, -21.752923 64.1345116, -21.75276 64.1344913, -21.7511952 64.1340829, -21.7510275 64.1340098, -21.7509437 64.1339468, -21.7508971 64.1338594)",,edge_21025,service,0.14381825589224212,c97ab4e4-3904-4dc6-ad47-15fc1a3a18d2,"LINESTRING (-21.7532732 64.1345054, -21.7508971 64.1338594)"
5454,4497,7037,"LINESTRING (-21.7740791 64.1028351, -21.773883 64.1028806, -21.7736791 64.1029191, -21.7734689 64.1029503, -21.7732537 64.1029742, -21.7730337 64.1029905, -21.7728114 64.1029991, -21.7725883 64.1029999, -21.772388 64.1029932)",,edge_22076,residential,0.08572435303565064,0ff6ce7d-289f-4e65-8106-02098ff34386,"LINESTRING (-21.7740791 64.1028351, -21.772388 64.1029932)"
5455,4499,2693,"LINESTRING (-21.7602104 64.1304808, -21.7601742 64.1304851)",,edge_19811,residential,0.0018270694702901286,a33f69e9-ae07-42e4-af0e-87dd2463a9fe,"LINESTRING (-21.7602104 64.1304808, -21.7601742 64.1304851)"
5456,4500,7015,"LINESTRING (-21.9077622 64.1385476, -21.9079238 64.1385691, -21.9079818 64.1385777, -21.9086702 64.1386799, -21.9093382 64.1387918, -21.9094515 64.13881)",,edge_8435,residential,0.08732072061913827,5e0fc2b5-3d63-48d8-a8d2-247770b4ed5b,"LINESTRING (-21.9077622 64.1385476, -21.9094515 64.13881)"
5457,4500,15474,"LINESTRING (-21.9077622 64.1385476, -21.9078591 64.1384558, -21.9081424 64.13809, -21.9083111 64.1378812, -21.9083263 64.1378624, -21.9084061 64.1377627)",,edge_11010,tertiary,0.09299841469729557,efdd98ca-1455-446b-a085-6dc1948cf457,"LINESTRING (-21.9077622 64.1385476, -21.9084061 64.1377627)"
5458,4501,10196,"LINESTRING (-21.8207899 64.1096237, -21.8202606 64.1096462)",,edge_1035,service,0.025919694090160286,f9aea1fd-ec93-4b90-9774-90c7f4f7abc2,"LINESTRING (-21.8207899 64.1096237, -21.8202606 64.1096462)"
5459,4502,1327,"LINESTRING (-21.9498863 64.1565171, -21.9499212 64.1564999)",,edge_13209,service,0.0025613214199353713,6a93b165-e522-40e4-9e24-fc9218b9c381,"LINESTRING (-21.9498863 64.1565171, -21.9499212 64.1564999)"
5460,4502,15712,"LINESTRING (-21.9498863 64.1565171, -21.9500731 64.1565604)",,edge_13210,service,0.010291532342994264,a9f0e5e8-8ca6-4af5-bb4c-8d28675c2c3e,"LINESTRING (-21.9498863 64.1565171, -21.9500731 64.1565604)"
5461,4503,2805,"LINESTRING (-21.7577297 64.1364709, -21.7575029 64.1364796)",,edge_19729,residential,0.01108606562867497,70bbd952-ec59-449b-a635-b8f2ef9f889a,"LINESTRING (-21.7577297 64.1364709, -21.7575029 64.1364796)"
5462,4504,1060,"LINESTRING (-21.8957242 64.1393428, -21.8953661 64.1394156)",,edge_8500,residential,0.019231437306045294,3ea2d905-cc32-4726-85e2-5ebc63ea13bd,"LINESTRING (-21.8957242 64.1393428, -21.8953661 64.1394156)"
5463,4505,9525,"LINESTRING (-21.6267827 64.1016942, -21.6268873 64.1017411, -21.6270161 64.101761, -21.6271958 64.1017657, -21.6273487 64.1017481, -21.6274399 64.1017024, -21.6275203 64.1016239, -21.6275176 64.101515, -21.6276357 64.1013463, -21.6278234 64.1011389, -21.6280598 64.1009586, -21.6282905 64.1007642, -21.6287143 64.1003026, -21.6288839 64.1001552)",,edge_22592,service,0.2249079374561989,85ae4376-2be4-4d4d-9926-bb31d364e91d,"LINESTRING (-21.6267827 64.1016942, -21.6288839 64.1001552)"
5464,4506,3246,"LINESTRING (-21.7860833 64.1146278, -21.7854564 64.1145374, -21.7849457 64.1144637, -21.7848902 64.1144413, -21.7848577 64.1144132, -21.7848565 64.1143802, -21.7852018 64.1138935, -21.7852279 64.1137883, -21.7852293 64.113724, -21.785188 64.1135614)",,edge_21533,tertiary,0.16325679481027358,0b252bfb-1c4d-4122-a679-423b39f65109,"LINESTRING (-21.7860833 64.1146278, -21.785188 64.1135614)"
5465,4506,17324,"LINESTRING (-21.7860833 64.1146278, -21.7860157 64.1147169, -21.7859677 64.1147801)",,edge_21609,service,0.01788842709331417,c6476cec-3477-4098-b2d4-35f5723aafb2,"LINESTRING (-21.7860833 64.1146278, -21.7859677 64.1147801)"
5466,4507,2969,"LINESTRING (-21.9349797 64.1447925, -21.9354319 64.1441842, -21.9354822 64.1441165)",,edge_12575,residential,0.07923072765544055,b0184ac8-cb63-48dc-8135-e432834f881c,"LINESTRING (-21.9349797 64.1447925, -21.9354822 64.1441165)"
5467,4507,15522,"LINESTRING (-21.9349797 64.1447925, -21.9338962 64.1446048)",,edge_12588,residential,0.056742305098299896,3e1f2df0-ec4b-4497-bb91-4f0fd05a64be,"LINESTRING (-21.9349797 64.1447925, -21.9338962 64.1446048)"
5468,4508,2012,"LINESTRING (-21.9310842 64.1234004, -21.9309724 64.1231646, -21.9309018 64.1230462)",,edge_11581,residential,0.04048500500320929,214fb9e5-4d11-4fb8-8888-985f8b077108,"LINESTRING (-21.9310842 64.1234004, -21.9309018 64.1230462)"
5469,4509,7962,"LINESTRING (-21.7828091 64.1484871, -21.78288 64.1483542)",,edge_18903,service,0.015212220159523261,0c85f577-9056-4a0d-ad02-b7598ec4a3ae,"LINESTRING (-21.7828091 64.1484871, -21.78288 64.1483542)"
5470,4510,16385,"LINESTRING (-21.8073891 64.1177015, -21.8073206 64.1177842, -21.8071187 64.118028)",,edge_4608,service,0.038709188301669646,818cf4aa-b174-4ff8-9531-d9b877bc560f,"LINESTRING (-21.8073891 64.1177015, -21.8071187 64.118028)"
5471,4510,8900,"LINESTRING (-21.8073891 64.1177015, -21.8077789 64.1177577)",,edge_4610,tertiary,0.019999933030257138,b6c88c3d-4f05-475c-bd95-a6c3f97420b1,"LINESTRING (-21.8073891 64.1177015, -21.8077789 64.1177577)"
5472,4513,10320,"LINESTRING (-21.8546418 64.0979709, -21.8534416 64.097724, -21.853316 64.0976982)",,edge_1730,residential,0.07143797072615321,f213e5e8-5a54-475a-877c-b958efa9f16b,"LINESTRING (-21.8546418 64.0979709, -21.853316 64.0976982)"
5473,4514,15463,"LINESTRING (-21.6818629 64.1801297, -21.6819312 64.1800029, -21.6820258 64.1798593, -21.6820843 64.1797875)",,edge_16676,residential,0.03967108841852593,49fad93a-ff45-4bcc-b6ab-7f9e8f1c9dbd,"LINESTRING (-21.6818629 64.1801297, -21.6820843 64.1797875)"
5474,4515,8691,"LINESTRING (-21.791599 64.1457757, -21.792004 64.1455835, -21.7920631 64.1455554)",,edge_18981,residential,0.03336903241242288,1da00bf6-190b-4611-9a26-80c43c97ee6a,"LINESTRING (-21.791599 64.1457757, -21.7920631 64.1455554)"
5475,4517,3897,"LINESTRING (-21.8852516 64.1479221, -21.8848294 64.1481761)",,edge_7375,residential,0.03498674409430723,59cde919-f574-4643-8332-a60d3943645a,"LINESTRING (-21.8852516 64.1479221, -21.8848294 64.1481761)"
5476,4517,13373,"LINESTRING (-21.8852516 64.1479221, -21.8852134 64.1478258, -21.8852035 64.1476389, -21.8851989 64.1475513, -21.885184 64.1472697, -21.8851697 64.1469972, -21.8851556 64.1467307, -21.8851508 64.1466394)",,edge_9034,residential,0.1431898215645799,0e70bf4b-ab8b-45a2-acf7-b9cab36fcca2,"LINESTRING (-21.8852516 64.1479221, -21.8851508 64.1466394)"
5477,4518,3437,"LINESTRING (-21.9004982 64.1407087, -21.901492 64.1409168, -21.9016528 64.1409492)",,edge_8556,service,0.06227935927127238,4f6fe961-73b7-46bd-b57f-9be25f555c47,"LINESTRING (-21.9004982 64.1407087, -21.9016528 64.1409492)"
5478,4519,14663,"LINESTRING (-21.7833255 64.1138989, -21.7832757 64.1138874, -21.7832226 64.1138793, -21.7831673 64.1138747, -21.783111 64.1138738)",,edge_21538,tertiary,0.010974139047669411,c83a7af8-dca3-42cc-bada-c0955a345de9,"LINESTRING (-21.7833255 64.1138989, -21.783111 64.1138738)"
5479,4523,8644,"LINESTRING (-21.8903197 64.1374603, -21.8902049 64.1374953, -21.890107 64.1375251)",,edge_9379,service,0.01262710106540951,b31a5246-5a4c-468a-92fd-c61be23f578d,"LINESTRING (-21.8903197 64.1374603, -21.890107 64.1375251)"
5480,4523,5420,"LINESTRING (-21.8903197 64.1374603, -21.8903518 64.1373007, -21.8904272 64.1372194)",,edge_9484,service,0.027639284458410136,0bda096f-041e-4fe6-b8f6-a561208f1ea9,"LINESTRING (-21.8903197 64.1374603, -21.8904272 64.1372194)"
5481,4524,6875,"LINESTRING (-21.9313447 64.1300069, -21.9314634 64.1300023, -21.9317877 64.1299842, -21.9319456 64.129958)",,edge_11536,service,0.029953438380134097,7959e473-1d66-4e72-b98e-a9dfe1dd52d6,"LINESTRING (-21.9313447 64.1300069, -21.9319456 64.129958)"
5482,4525,15139,"LINESTRING (-21.8489291 64.1030948, -21.848848 64.1031345, -21.8486884 64.1032126, -21.8492265 64.1034172, -21.8492478 64.1034068, -21.8493846 64.1033382)",,edge_1576,service,0.06407651567336516,9374fdb1-e4b7-49d8-9bc4-84d23149907f,"LINESTRING (-21.8489291 64.1030948, -21.8493846 64.1033382)"
5483,4525,17145,"LINESTRING (-21.8489291 64.1030948, -21.8491868 64.1031915)",,edge_1579,service,0.01655424045965481,9472e261-e09d-4cf9-8def-407914f11740,"LINESTRING (-21.8489291 64.1030948, -21.8491868 64.1031915)"
5484,4526,8569,"LINESTRING (-21.8723548 64.1211647, -21.8724849 64.1209662)",,edge_1967,residential,0.023018516499837372,7af44d44-512e-4c9d-8a02-35287db537a5,"LINESTRING (-21.8723548 64.1211647, -21.8724849 64.1209662)"
5485,4527,5760,"LINESTRING (-21.5955846 64.1688314, -21.5950976 64.1688372, -21.5917347 64.1689659)",,edge_17443,track,0.18788132129067,f5d6c43b-2f41-4d79-afee-26ca8469bd12,"LINESTRING (-21.5955846 64.1688314, -21.5917347 64.1689659)"
5486,4527,667,"LINESTRING (-21.5955846 64.1688314, -21.5955472 64.168945, -21.5954151 64.1692593, -21.5953973 64.169607, -21.5953884 64.1703269)",,edge_17449,track,0.16744325826076054,6b9947b0-2697-43bb-8c66-7cf102ba7b83,"LINESTRING (-21.5955846 64.1688314, -21.5953884 64.1703269)"
5487,4528,4791,"LINESTRING (-21.8559887 64.1026767, -21.8562827 64.1027219, -21.8577329 64.102945)",,edge_1792,residential,0.09013994677965662,472d96be-a6c2-46b9-888a-145dc3cf656d,"LINESTRING (-21.8559887 64.1026767, -21.8577329 64.102945)"
5488,4530,12961,"LINESTRING (-21.8389461 64.0998454, -21.8395919 64.0996768, -21.839652 64.0996544, -21.8397001 64.0996271, -21.839734 64.0995959, -21.8397512 64.0995656, -21.8397548 64.0995343, -21.8397447 64.0995034, -21.8396643 64.0994343)",,edge_158,service,0.06731057711963322,dbdf8290-9eef-43f3-aee6-e9f0990c2a22,"LINESTRING (-21.8389461 64.0998454, -21.8396643 64.0994343)"
5489,4530,11268,"LINESTRING (-21.8389461 64.0998454, -21.8391943 64.1000251, -21.8392191 64.1000469, -21.8392309 64.1000706, -21.8392291 64.1000949, -21.8392137 64.1001182, -21.8391864 64.1001389, -21.8391485 64.100156, -21.8388311 64.1002417)",,edge_165,residential,0.05774243478023143,8bf4c740-5c28-4a94-a06d-5f626f66b249,"LINESTRING (-21.8389461 64.0998454, -21.8388311 64.1002417)"
5490,4531,14551,"LINESTRING (-21.7580019 64.1413048, -21.7588657 64.1414719)",,edge_19595,service,0.045994679602339245,6c2b3597-3648-43a3-bdf9-6b2f510beff3,"LINESTRING (-21.7580019 64.1413048, -21.7588657 64.1414719)"
5491,4533,2047,"LINESTRING (-21.9088556 64.146275, -21.9089671 64.1464636, -21.9089743 64.1464757, -21.9090029 64.1465241)",,edge_7800,service,0.02868024973714319,b6b74b05-908c-45ad-a454-6345171e7797,"LINESTRING (-21.9088556 64.146275, -21.9090029 64.1465241)"
5492,4533,3761,"LINESTRING (-21.9088556 64.146275, -21.9090788 64.1462273)",,edge_7801,service,0.01209598180627223,358aa198-a89e-4d66-85c8-a6d9fe2e00d3,"LINESTRING (-21.9088556 64.146275, -21.9090788 64.1462273)"
5493,4534,14829,"LINESTRING (-21.8372743 64.1245417, -21.8378899 64.1245617, -21.8397238 64.1246308, -21.8399462 64.1246477, -21.8400228 64.1246586, -21.8400872 64.1246722, -21.8401869 64.1247053)",,edge_4182,tertiary,0.144243252644356,4c9bd116-34a7-4a8c-87d1-031cb5677d5f,"LINESTRING (-21.8372743 64.1245417, -21.8401869 64.1247053)"
5494,4534,10106,"LINESTRING (-21.8372743 64.1245417, -21.837253 64.1245993, -21.8372329 64.1246481, -21.8370699 64.1250453, -21.8368071 64.1255996)",,edge_4213,unclassified,0.12012305435434839,988fddc7-a1c9-4cbc-a020-e4d8da165b04,"LINESTRING (-21.8372743 64.1245417, -21.8368071 64.1255996)"
5495,4535,8827,"LINESTRING (-21.6956775 64.1664522, -21.695592 64.1664661, -21.6955218 64.1664915, -21.6954747 64.1665256, -21.6954561 64.1665645)",,edge_16151,tertiary,0.017742316650079228,c441e5a5-d57d-4e5d-8fec-6000bf12d4c4,"LINESTRING (-21.6956775 64.1664522, -21.6954561 64.1665645)"
5496,4535,6633,"LINESTRING (-21.6956775 64.1664522, -21.6954342 64.1663878, -21.6953722 64.1663693, -21.6946532 64.1660804)",,edge_16158,tertiary,0.06503835017621892,cbeee9e3-8942-428a-ae1e-5320896e6a12,"LINESTRING (-21.6956775 64.1664522, -21.6946532 64.1660804)"
5497,4536,11762,"LINESTRING (-21.8983068 64.1171093, -21.8983564 64.116844, -21.8984852 64.1165186, -21.8986508 64.1162658, -21.8987636 64.1161137, -21.898908 64.1159613, -21.8990566 64.1158289, -21.8992409 64.1156795, -21.8994446 64.1155345, -21.8996912 64.1153799, -21.9001555 64.1151256, -21.9005427 64.1149501, -21.9007503 64.1148629, -21.9008427 64.1148241, -21.9011093 64.1147236, -21.9013157 64.114653, -21.9014375 64.1146129)",,edge_10362,primary,0.3284405697643226,cff2c53d-4a89-458f-9167-6b316979d15d,"LINESTRING (-21.8983068 64.1171093, -21.9014375 64.1146129)"
5498,4537,3613,"LINESTRING (-21.7476197 64.1245267, -21.7474448 64.1245172, -21.7472726 64.124501, -21.7471043 64.1244781, -21.7469415 64.1244487)",,edge_20904,residential,0.0343343706060465,b44a7474-af29-4cda-9f2b-dfc28b7c1b61,"LINESTRING (-21.7476197 64.1245267, -21.7469415 64.1244487)"
