prior_path,root_equivalent_path,root_exists,root_tracked,classification,recommended_action
transport_simulation_core\src\realworld\road_evidence_request_packet.py,src\realworld\road_evidence_request_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\road_override_audit.py,src\realworld\road_override_audit.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\road_source_decision_packet.py,src\realworld\road_source_decision_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\road_source_readiness_packet.py,src\realworld\road_source_readiness_packet.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\sensitivity.py,src\realworld\sensitivity.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\src\realworld\seed_stream_manifest.py,src\realworld\seed_stream_manifest.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\outputs\runs\gate2_20260601_232844\handoffs\wave6\adversarial_qa_wave4_wave5_review.json,outputs\runs\gate2_20260601_232844\handoffs\wave6\adversarial_qa_wave4_wave5_review.json,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\handoffs\wave5\disruption_compact_stress_review.json,outputs\runs\gate2_20260601_232844\handoffs\wave5\disruption_compact_stress_review.json,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_execution_contract.json,outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_execution_contract.json,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_edge_mapping.md,outputs\runs\gate2_20260601_232844\gate2\compact_nonarrival_probe_edge_mapping.md,False,False,generated_artifact_missing,regenerate_after_scripts_inputs_and_scope_are_verified
transport_simulation_core\src\realworld\disruption_scenarios.py,src\realworld\disruption_scenarios.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
transport_simulation_core\tests\test_realworld_disruption_scenarios.py,tests\test_realworld_disruption_scenarios.py,True,True,root_equivalent_present_tracked,use_current_root_file_as_authoritative_equivalent
